[ 2025-10-12 21:38:46,893 ] 20  root - INFO - Initiate the data ingestion
[ 2025-10-12 21:38:58,005 ] 60  root - INFO - Performed train test split on the dataframe
[ 2025-10-12 21:38:58,005 ] 61  root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-12 21:38:58,005 ] 65  root - INFO - Exporting train and test file path.
[ 2025-10-12 21:38:58,045 ] 69  root - INFO - Exported train and test file path.
[ 2025-10-12 21:38:58,045 ] 22  root - INFO - Data Initiation Completed
[ 2025-10-12 21:38:58,050 ] 26  root - INFO - Initiate the data Validation
[ 2025-10-12 21:38:58,086 ] 30  root - INFO - No. of columns required for validation:2
[ 2025-10-12 21:38:58,086 ] 31  root - INFO - No of columns in dataframe31
[ 2025-10-12 21:38:58,086 ] 30  root - INFO - No. of columns required for validation:2
[ 2025-10-12 21:38:58,086 ] 31  root - INFO - No of columns in dataframe31
[ 2025-10-12 21:38:58,185 ] 28  root - INFO - data Validation Completed
[ 2025-10-12 21:38:58,185 ] 31  root - INFO - data Transformation started
