[ 2025-10-12 21:33:45,834 ] 20  root - INFO - Initiate the data ingestion
[ 2025-10-12 21:33:56,832 ] 60  root - INFO - Performed train test split on the dataframe
[ 2025-10-12 21:33:56,832 ] 61  root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-12 21:33:56,833 ] 65  root - INFO - Exporting train and test file path.
[ 2025-10-12 21:33:56,872 ] 69  root - INFO - Exported train and test file path.
[ 2025-10-12 21:33:56,873 ] 22  root - INFO - Data Initiation Completed
[ 2025-10-12 21:33:56,877 ] 26  root - INFO - Initiate the data Validation
[ 2025-10-12 21:33:56,915 ] 30  root - INFO - No. of columns required for validation:2
[ 2025-10-12 21:33:56,915 ] 31  root - INFO - No of columns in dataframe31
[ 2025-10-12 21:33:56,915 ] 30  root - INFO - No. of columns required for validation:2
[ 2025-10-12 21:33:56,915 ] 31  root - INFO - No of columns in dataframe31
[ 2025-10-12 21:33:57,009 ] 28  root - INFO - data Validation Completed
