[ 2025-10-12 21:36:25,933 ] 20  root - INFO - Initiate the data ingestion
[ 2025-10-12 21:36:37,113 ] 60  root - INFO - Performed train test split on the dataframe
[ 2025-10-12 21:36:37,113 ] 61  root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-12 21:36:37,113 ] 65  root - INFO - Exporting train and test file path.
[ 2025-10-12 21:36:37,154 ] 69  root - INFO - Exported train and test file path.
[ 2025-10-12 21:36:37,154 ] 22  root - INFO - Data Initiation Completed
[ 2025-10-12 21:36:37,159 ] 26  root - INFO - Initiate the data Validation
[ 2025-10-12 21:36:37,194 ] 30  root - INFO - No. of columns required for validation:2
[ 2025-10-12 21:36:37,195 ] 31  root - INFO - No of columns in dataframe31
[ 2025-10-12 21:36:37,195 ] 30  root - INFO - No. of columns required for validation:2
[ 2025-10-12 21:36:37,195 ] 31  root - INFO - No of columns in dataframe31
[ 2025-10-12 21:36:37,300 ] 28  root - INFO - data Validation Completed
