[ 2025-10-12 21:26:42,434 ] 20  root - INFO - Initiate the data ingestion
[ 2025-10-12 21:26:53,358 ] 60  root - INFO - Performed train test split on the dataframe
[ 2025-10-12 21:26:53,358 ] 61  root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-10-12 21:26:53,358 ] 65  root - INFO - Exporting train and test file path.
[ 2025-10-12 21:26:53,398 ] 69  root - INFO - Exported train and test file path.
[ 2025-10-12 21:26:53,398 ] 22  root - INFO - Data Initiation Completed
[ 2025-10-12 21:26:53,403 ] 26  root - INFO - Initiate the data Validation
[ 2025-10-12 21:26:53,439 ] 30  root - INFO - No. of columns required for validation:2
[ 2025-10-12 21:26:53,440 ] 31  root - INFO - No of columns in dataframe31
[ 2025-10-12 21:26:53,440 ] 30  root - INFO - No. of columns required for validation:2
[ 2025-10-12 21:26:53,440 ] 31  root - INFO - No of columns in dataframe31
